WKT,fid,tipe,nama,panjang
"LINESTRING (113.6929506 -8.168625,113.6930332 -8.1682441,113.6930982 -8.1679294,113.6931157 -8.1677383,113.6931257 -8.1675305,113.6931257 -8.1673487,113.6931203 -8.1671488,113.6931123 -8.1668488,113.6930935 -8.166369,113.6930814 -8.1662329,113.6930714 -8.1659694,113.6930634 -8.1657775,113.6930572 -8.1656482,113.6930314 -8.1652712,113.6930298 -8.1652472,113.6930204 -8.1649014,113.6930125 -8.1647271,113.6929989 -8.1644275,113.6929912 -8.1641209,113.6929902 -8.1638523,113.6929902 -8.1638427,113.693013 -8.1633927,113.6930163 -8.1633213,113.6930318 -8.1629898,113.693044 -8.1627608,113.6930473 -8.1624781,113.6930885 -8.1619286,113.6930895 -8.1619158,113.6931203 -8.1616039,113.6931351 -8.1612202,113.6931371 -8.1610825,113.6931404 -8.1608512,113.6931392 -8.1608319,113.6931293 -8.1606692,113.6931083 -8.1603228,113.6931025 -8.1600766,113.6930975 -8.1598608,113.6931035 -8.1596134,113.6931056 -8.1595289,113.6931078 -8.1595176,113.6931798 -8.1591508)",33,secondary,Jalan Manggar,1052.16052675207
"LINESTRING (113.7379198 -8.1383284,113.7377242 -8.1388777,113.7376801 -8.1390015,113.7376221 -8.1391404,113.7375148 -8.1393183,113.7373619 -8.1395306,113.7371552 -8.1397725,113.7368952 -8.1400511,113.7367289 -8.140306,113.736667 -8.1404337,113.7365397 -8.1407293,113.7359843 -8.1420187,113.735817 -8.1423877,113.7354523 -8.1433859,113.7354121 -8.1434868,113.7353745 -8.1435439,113.7353221 -8.1436077,113.7352404 -8.1436821,113.7351773 -8.1437206,113.7346462 -8.1440071,113.7345605 -8.1440696,113.7344652 -8.1441428,113.7344008 -8.1442489,113.7342761 -8.1445475,113.7341903 -8.1448316,113.7341219 -8.1450772,113.7340857 -8.1452471,113.7340522 -8.145441,113.7340307 -8.1456202,113.7340173 -8.1458153,113.733982 -8.1460996,113.7339809 -8.146117)",34,secondary,Jalan Pangandaran,994.956661613945
"LINESTRING (113.7045067 -8.1766558,113.704527 -8.1764687,113.7045371 -8.1762507,113.7045506 -8.1758838,113.7045664 -8.1754665)",35,trunk,Jalan Jenderal Achmad Yani,131.831150319986
"LINESTRING (113.6981166 -8.1703986,113.6985927 -8.1701411,113.6987798 -8.1700488,113.6991459 -8.1698384,113.6992478 -8.1698026,113.699457 -8.1696871,113.7003325 -8.1692131,113.7005482 -8.1690902,113.700949 -8.1688617,113.7009742 -8.1688428,113.7010013 -8.1688172,113.701063 -8.1687562,113.7012076 -8.1686127,113.70124 -8.1685711,113.70128 -8.1685163,113.7013287 -8.1684498,113.7014477 -8.1682783,113.7014764 -8.1682496,113.7015188 -8.1682074,113.7015827 -8.1681445,113.7016105 -8.168118,113.7016451 -8.1680921,113.7016648 -8.1680815,113.7016964 -8.1680688,113.7017671 -8.1680562,113.7018167 -8.1680483,113.7018969 -8.1680442,113.7019257 -8.1680441,113.7019991 -8.1680437,113.7020988 -8.1680463,113.7022239 -8.1680514,113.702652 -8.1680802,113.7027448 -8.1680795,113.7027898 -8.1680822,113.7028098 -8.1680834)",36,trunk,Jalan Sultan Agung,600.412103016674
"LINESTRING (113.7216758 -8.1837539,113.7216027 -8.1841883,113.7215401 -8.1845499,113.721523 -8.1846474,113.7214632 -8.1850016,113.7214047 -8.1853284,113.7213564 -8.1856013,113.7213456 -8.1856633,113.7212958 -8.1859703,113.721237 -8.1862902,113.7211769 -8.1866157,113.7211508 -8.1867774,113.7211221 -8.1869534,113.7211034 -8.1870639,113.7210693 -8.1873187,113.7210215 -8.1876404,113.7209648 -8.1879577,113.7209099 -8.1883042,113.7208676 -8.1885667,113.7208646 -8.1885976)",37,tertiary,Jalan Sriwijaya,543.540327496941
"LINESTRING (113.7091338 -8.1794779,113.7087305 -8.1806172,113.7084632 -8.1811939,113.7083795 -8.1813746,113.7082175 -8.1821181,113.7081333 -8.1825045,113.7080966 -8.1826139,113.7079988 -8.1831283,113.7078917 -8.1835829,113.7076473 -8.1843914,113.7075525 -8.1847616,113.707477 -8.1850446,113.707369 -8.1854069)",38,residential,Jalan Pajajaran,686.359428514176
"LINESTRING (113.712508 -8.1926746,113.7125308 -8.1927052,113.7125824 -8.1927662,113.7127312 -8.1929081,113.7128144 -8.1929866,113.7131148 -8.1932041,113.7132221 -8.1932678,113.7133656 -8.1933078,113.7141821 -8.1934172,113.7154644 -8.1936023,113.7157555 -8.193633,113.7159821 -8.1936237,113.7162007 -8.1936038,113.7164354 -8.1935439,113.7165588 -8.1935227,113.7167251 -8.1935227,113.7176987 -8.1936892,113.7177497 -8.1936979,113.7178 -8.1937035,113.7186026 -8.1937934,113.718836 -8.1938374,113.7190318 -8.193889,113.7199974 -8.1941864,113.7201924 -8.1942511,113.7204293 -8.1943297,113.7208395 -8.1944657,113.7209576 -8.1945049,113.7214351 -8.1946475,113.7216429 -8.1946989,113.7221109 -8.1947757,113.7227064 -8.1948819,113.7234776 -8.1950414,113.7237337 -8.1950839)",39,tertiary,Jalan Letnan Jenderal Sutoyo,1287.52795470851
"LINESTRING (113.7237337 -8.1950839,113.7237142 -8.1952393,113.7235164 -8.1962837,113.7235004 -8.1970456,113.723617 -8.1972874,113.7237418 -8.1974798,113.7238289 -8.1975767,113.7239255 -8.1976338,113.7241347 -8.1976644,113.7248415 -8.1975528,113.7255335 -8.1974814,113.7258446 -8.1974493,113.7262872 -8.197436,113.7266909 -8.1974427,113.7268411 -8.1974506,113.727053 -8.1974679,113.7273064 -8.1975064,113.7276578 -8.1975688,113.7280561 -8.1976551,113.7282667 -8.1977427,113.7284276 -8.197821,113.7286301 -8.1979215)",40,unclassified,Jalan Kutai,830.364496773239
"LINESTRING (113.7030537 -8.1845155,113.7036604 -8.1845859,113.7037204 -8.1846052,113.7038358 -8.1847857,113.7038782 -8.1848179,113.7041861 -8.184926,113.7043772 -8.1849959,113.704582 -8.1850175,113.7050725 -8.1850565,113.7056221 -8.1850452,113.7057802 -8.1850419,113.7064285 -8.1852055,113.7067168 -8.1852685,113.7070563 -8.1853405,113.707369 -8.1854069)",41,residential,Bukit Permai,497.162882837622
"LINESTRING (113.7095784 -8.178465,113.7095898 -8.1784179,113.7096018 -8.1783761,113.7096099 -8.1783462,113.7096159 -8.1783263,113.7096266 -8.1782984,113.7097554 -8.1780084,113.7098184 -8.1778763,113.7099901 -8.1775086,113.7100402 -8.177399,113.7101617 -8.1771329,113.71021 -8.177036,113.7102436 -8.1769949,113.7102824 -8.176963,113.7103495 -8.1769112,113.7105692 -8.1768006,113.7106606 -8.1767546,113.7113097 -8.1764559,113.7117702 -8.1762325)",42,residential,Jalan Gunung Batu,367.566514226612
