WKT,fid,tipe,nama,panjang
"LINESTRING (113.7194467 -8.1973248,113.7194402 -8.1972967,113.7194402 -8.1972608,113.7194476 -8.197229,113.7196353 -8.1967538)",3800,residential,,67.2966530139439
"LINESTRING (113.7168833 -8.1966847,113.7163322 -8.1964856,113.7162846 -8.1964644,113.7162765 -8.1964511,113.7162772 -8.1964345,113.7163649 -8.1961991,113.7164632 -8.1959354,113.7164998 -8.1958372)",3801,residential,Jalan Teratai,144.466605004775
"LINESTRING (113.7204762 -8.197902,113.7197797 -8.197671,113.7194124 -8.1975492)",3802,residential,,123.630980329509
"LINESTRING (113.7204975 -8.1978382,113.7209724 -8.1980042)",3803,residential,,55.4955917992427
"LINESTRING (113.7185882 -8.1976272,113.7193322 -8.1978263)",3804,residential,,84.9470816676672
"LINESTRING (113.7208054 -8.1985935,113.7203013 -8.1984297,113.7197467 -8.1982547,113.7192544 -8.1980994,113.7184887 -8.1978973)",3805,residential,,266.901276035771
"LINESTRING (113.7183918 -8.1981572,113.7191771 -8.198371,113.71967 -8.198524,113.7202169 -8.1986938,113.7206769 -8.1988507)",3806,residential,,263.474681541369
"LINESTRING (113.7194467 -8.1973248,113.7194124 -8.1975492,113.7193322 -8.1978263,113.7192544 -8.1980994,113.7191771 -8.198371,113.7191015 -8.198646,113.7190104 -8.1989426,113.7182365 -8.19879)",3807,residential,,272.580658536111
"LINESTRING (113.7193322 -8.1978263,113.7203925 -8.1981527,113.7208604 -8.1983028,113.7208966 -8.1983241,113.7209067 -8.1983314,113.720912 -8.1983486,113.7209053 -8.1983699,113.7208054 -8.1985935,113.7206769 -8.1988507,113.7206599 -8.1988869,113.7205815 -8.1990541,113.720556 -8.1990853,113.7205372 -8.199094,113.7204836 -8.1990847,113.7201329 -8.1989566,113.7198891 -8.198884,113.719593 -8.1987959,113.719406 -8.1987356,113.7191015 -8.198646,113.7182888 -8.1984279)",3808,residential,,536.331709135905
"LINESTRING (113.7213948 -8.1972183,113.7209027 -8.1970816,113.7208249 -8.1970577,113.7207913 -8.1970524,113.7207764 -8.1970552,113.7207623 -8.197065,113.7207317 -8.1971367,113.7206719 -8.1973157,113.7205973 -8.1975393,113.7204975 -8.1978382,113.7204762 -8.197902,113.7203925 -8.1981527,113.72033 -8.19834,113.7203013 -8.1984297,113.7202169 -8.1986938,113.7201329 -8.1989566,113.720094 -8.1990807)",3809,residential,,307.609918935461
"LINESTRING (113.6669967 -8.1842759,113.6669717 -8.1842014)",3810,residential,Jalan Majapahit,8.69360715181062
"LINESTRING (113.665844 -8.1947591,113.6655538 -8.1962094)",3811,residential,,163.664264411867
"LINESTRING (113.6666568 -8.1947035,113.6665986 -8.1947108)",3812,residential,,6.46801976205951
"LINESTRING (113.6663988 -8.1933569,113.6664605 -8.1933649)",3813,residential,,6.86067939146237
"LINESTRING (113.6664986 -8.1940382,113.6665606 -8.1940241)",3814,residential,,7.01221220393238
"LINESTRING (113.6664552 -8.1929037,113.6664592 -8.1932693,113.6664605 -8.1933649,113.6664726 -8.1934671,113.6665606 -8.1940241,113.6666568 -8.1947035,113.6666416 -8.1947381,113.6666233 -8.1947705)",3815,residential,,209.065029854136
"LINESTRING (113.6671276 -8.1901365,113.6671229 -8.1908454,113.6671214 -8.1909913,113.6671132 -8.191774,113.6670994 -8.1923308,113.6670829 -8.1929043,113.6670637 -8.1932637,113.6670597 -8.1932749,113.6670543 -8.1932862,113.6670382 -8.1933081)",3816,residential,,351.903224432377
"LINESTRING (113.6671358 -8.1889897,113.6670476 -8.1889844)",3817,residential,,9.74310089907385
"LINESTRING (113.6670464 -8.1891052,113.6671353 -8.1891078)",3818,residential,,9.80683423721458
"LINESTRING (113.6671398 -8.1881176,113.667056 -8.1881189)",3819,residential,,9.24140025585568
"LINESTRING (113.6670548 -8.1882397,113.6671392 -8.188241)",3820,residential,,9.30754897053894
"LINESTRING (113.6686485 -8.1868021,113.6686653 -8.1868227,113.6686727 -8.1868525,113.6686744 -8.1869099,113.6685624 -8.1875248)",3821,residential,,81.8533478771377
"LINESTRING (113.6705817 -8.1810469,113.6709327 -8.1809267)",3822,residential,,40.9263995790843
"LINESTRING (113.6674569 -8.1822256,113.6673974 -8.1824018,113.6673896 -8.1824829,113.6673805 -8.18256,113.667372 -8.1826482,113.6673713 -8.1826681,113.6673639 -8.1826904,113.6673492 -8.1827113,113.6671587 -8.1828513,113.667212 -8.1829292,113.6672432 -8.1829951,113.6672806 -8.1830762,113.6673269 -8.1831422,113.6674154 -8.183211,113.667471 -8.1832634,113.6675251 -8.1833185,113.6675539 -8.1833767,113.6675539 -8.1834441,113.6675533 -8.1835455,113.667556 -8.1836664,113.6675959 -8.183817,113.6676186 -8.1838689,113.6676464 -8.1839324)",3823,residential,,218.768985097867
"LINESTRING (113.7266253 -8.1803064,113.726657 -8.1799163,113.7266676 -8.179747,113.7266659 -8.1797241,113.726659 -8.1797099,113.7266426 -8.1796949,113.7266176 -8.1796826,113.7265816 -8.179675,113.7264343 -8.1796638)",3824,residential,,92.2554802805017
"LINESTRING (113.7103464 -8.1541921,113.7105433 -8.1539327,113.7105862 -8.153863,113.7106117 -8.1538033,113.7106336 -8.1536634)",3825,residential,,67.896446187754
"LINESTRING (113.7110687 -8.1498466,113.7111511 -8.1496275,113.7112373 -8.1494449,113.7112788 -8.1493109,113.7113231 -8.1491343,113.7113178 -8.1489843,113.7112708 -8.1488475)",3826,residential,,116.510228199456
"LINESTRING (113.7024616 -8.1564624,113.7026261 -8.1564391,113.7026455 -8.1564325,113.7026529 -8.1564232,113.7026563 -8.1564053,113.7026321 -8.156244,113.7026355 -8.1562227,113.7026455 -8.1562108,113.7026583 -8.1562068,113.7029949 -8.1561729)",3827,residential,,84.8562434379952
"LINESTRING (113.7024014 -8.1557707,113.7029996 -8.1557899,113.70301 -8.1557873,113.703018 -8.155782,113.703021 -8.1557697,113.7030244 -8.1555337)",3828,residential,,95.7669747670255
"LINESTRING (113.6807014 -8.1958047,113.6799439 -8.19519)",3829,residential,,107.724843600339
"LINESTRING (113.6805271 -8.1960222,113.6799415 -8.1955532,113.6798125 -8.1954463)",3830,residential,,101.347956625
"LINESTRING (113.6804844 -8.1960755,113.6805271 -8.1960222,113.6807014 -8.1958047,113.6808854 -8.1955929)",3831,residential,,69.351370278515
"LINESTRING (113.6809406 -8.1981155,113.681387 -8.1984303)",3832,residential,,60.3042324001987
"LINESTRING (113.6811087 -8.1979091,113.6817491 -8.1983573)",3833,residential,,86.2943862596226
"LINESTRING (113.6812797 -8.1976817,113.6818376 -8.1981038)",3834,residential,,77.243436369402
"LINESTRING (113.6814451 -8.1974653,113.6812797 -8.1976817,113.6811087 -8.1979091,113.6809406 -8.1981155,113.6807916 -8.1983248,113.6807158 -8.198263,113.6805636 -8.1981449,113.6812151 -8.1972839,113.6814184 -8.197083)",3835,residential,,302.343235158062
"LINESTRING (113.6811175 -8.1957609,113.6805716 -8.1964153,113.6806642 -8.1964982,113.6809485 -8.1967179,113.6814184 -8.197083,113.6818019 -8.1973634,113.6819422 -8.1974705)",3836,residential,,285.21879197941
"LINESTRING (113.6826475 -8.1961398,113.6827301 -8.1964164,113.6828101 -8.1966936)",3837,residential,,63.8595044452226
"LINESTRING (113.6842319 -8.1940988,113.6842569 -8.1939754,113.6842624 -8.1939184,113.6842744 -8.1938109,113.6843013 -8.1936277,113.6843146 -8.1934923,113.6843106 -8.1934073)",3838,residential,,77.2055457637188
"LINESTRING (113.6830433 -8.1936673,113.683105 -8.1932785)",3839,residential,,43.5638908456277
"LINESTRING (113.680982 -8.1919724,113.6810665 -8.1920003,113.6811215 -8.1920136,113.6811966 -8.1920255,113.6813052 -8.1920401,113.6815198 -8.1920574,113.6818045 -8.1920572)",3840,residential,,91.6581441990476
"LINESTRING (113.6790561 -8.1927901,113.6790895 -8.1924613,113.6791192 -8.1921935,113.679134 -8.19206)",3841,residential,,81.2576698120946
"LINESTRING (113.6780329 -8.1932706,113.6783489 -8.1933072,113.6789734 -8.1933868)",3842,residential,,104.500522568505
"LINESTRING (113.677931 -8.1935295,113.6783102 -8.1935664,113.6789385 -8.1936603)",3843,residential,,112.066396553912
"LINESTRING (113.6715246 -8.1947723,113.6715809 -8.1947865,113.671611 -8.1947859,113.6716318 -8.1947799,113.6716734 -8.194764,113.6716975 -8.1946697,113.6717163 -8.1946551,113.6717418 -8.1946511,113.6718062 -8.1946432,113.6718799 -8.1946392,113.6723587 -8.1946485,113.6730696 -8.1946815,113.6734597 -8.1947361,113.673571 -8.1947441)",3844,residential,,235.578897194848
"LINESTRING (113.6714787 -8.1952416,113.6715085 -8.1949421,113.6715246 -8.1947723,113.6715341 -8.1946762,113.6715741 -8.1942742)",3845,residential,,107.579024416275
"LINESTRING (113.6730696 -8.1946815,113.673032 -8.1952007,113.6730208 -8.1952551,113.6730386 -8.1952883,113.6729944 -8.1953135,113.6729407 -8.1953215,113.6727436 -8.1953109,113.672635 -8.1953095,113.6724941 -8.1953109,113.6723064 -8.1953122,113.6721227 -8.1953002,113.6719043 -8.1952754,113.6714787 -8.1952416,113.6712322 -8.1952219,113.6701776 -8.1951161)",3846,residential,,385.252506472145
"LINESTRING (113.7115066 -8.1887451,113.7121063 -8.1888848,113.7127152 -8.1890519)",3847,residential,,137.555729097804
"LINESTRING (113.7115686 -8.1884813,113.7115397 -8.1885477)",3848,residential,,8.01003078840309
"LINESTRING (113.7128707 -8.1885302,113.7120433 -8.1883034,113.7117852 -8.1882457,113.711751 -8.1882423,113.7117033 -8.1882357,113.711641 -8.1882603,113.7116168 -8.1883034,113.7115686 -8.1884813)",3849,residential,,166.144983770701
"LINESTRING (113.7115686 -8.1884813,113.7125818 -8.1887109,113.7127998 -8.1887678,113.7130937 -8.1887813,113.713141 -8.18876)",3850,residential,,177.595075907202
"LINESTRING (113.7120849 -8.1897742,113.7123665 -8.1898465,113.7124342 -8.1898611,113.7124731 -8.1898545,113.712502 -8.1897981,113.7125681 -8.1895615,113.7126395 -8.1893062,113.7127152 -8.1890519,113.7127998 -8.1887678,113.7128707 -8.1885302,113.7129626 -8.1882218,113.7129935 -8.188178,113.7130304 -8.1881733,113.7132161 -8.1882291,113.7132289 -8.188241,113.7132342 -8.1882968,113.7131504 -8.1886691,113.713141 -8.18876)",3851,residential,,324.660093998836
"LINESTRING (113.713723 -8.1891955,113.713676 -8.189433,113.7135719 -8.189959,113.7135614 -8.1900118,113.7135024 -8.1903835)",3852,residential,,133.733738020085
"LINESTRING (113.7104881 -8.1919777,113.7105111 -8.1922279,113.7105681 -8.1925777,113.7105963 -8.1928565)",3853,residential,,98.0400127384826
"LINESTRING (113.7073843 -8.1907087,113.7074634 -8.1901313,113.7075241 -8.1896708)",3854,residential,Jalan Perumahan Kebonsari Indah,115.899117354098
"LINESTRING (113.7070574 -8.1906878,113.7073843 -8.1907087,113.7077571 -8.1907326,113.7078892 -8.1907406,113.7079362 -8.1907286,113.7079657 -8.1906828,113.7079684 -8.19043,113.708018 -8.1900516,113.7080488 -8.1898568,113.7080462 -8.1898339,113.7080361 -8.189818,113.7076847 -8.1897284,113.7075241 -8.1896708,113.7074714 -8.1896519)",3855,residential,Jalan Perumahan Kebonsari Indah,264.949065623358
"LINESTRING (113.7192926 -8.181805,113.7188146 -8.1816104,113.7187907 -8.1815982,113.7187797 -8.1815799,113.7187811 -8.1815554,113.7188855 -8.1812544,113.7189245 -8.1811418)",3856,residential,,113.408203022509
"LINESTRING (113.7049039 -8.1937388,113.7049128 -8.1938676)",3857,residential,,14.2885783938413
"LINESTRING (113.704558 -8.1937806,113.7045693 -8.1939111)",3858,residential,,14.496627373828
"LINESTRING (113.7042219 -8.1900037,113.7043843 -8.1893547,113.7044084 -8.1892983,113.7044205 -8.1892831,113.7044453 -8.1892751,113.7046618 -8.1893073)",3859,residential,Jalan Perumahan Kebonsari Indah,109.969645316127
"LINESTRING (113.7039446 -8.189941,113.7041281 -8.1892592)",3860,residential,Jalan Perumahan Kebonsari Indah,78.1234718202369
"LINESTRING (113.7050515 -8.1892346,113.7051098 -8.1889246)",3861,residential,Jalan Perumahan Kebonsari Indah,34.9060929582404
"LINESTRING (113.7055336 -8.189305,113.7050515 -8.1892346,113.7046816 -8.1891821)",3862,residential,Jalan Perumahan Kebonsari Indah,94.9288584619257
"LINESTRING (113.7091288 -8.1830591,113.7083539 -8.1828476)",3863,residential,Bukit Permai,88.5971255004319
"LINESTRING (113.7202777 -8.1885264,113.7204661 -8.1885516,113.7205285 -8.1885623,113.7206232 -8.1885996)",3864,residential,,39.1723778250338
"LINESTRING (113.7195602 -8.1884216,113.7202509 -8.1885238,113.7202777 -8.1885264,113.7203255 -8.1881942)",3865,residential,,117.11069796118
"LINESTRING (113.716414 -8.1847266,113.7162383 -8.1850811)",3866,residential,,43.7574122209636
"LINESTRING (113.7163456 -8.1843516,113.7162792 -8.1845547,113.7162709 -8.1846019,113.7162732 -8.1846188,113.7162799 -8.184635,113.716414 -8.1847266,113.7167397 -8.184873)",3867,residential,,90.1006357361455
"LINESTRING (113.705494 -8.1818142,113.7059936 -8.1819689,113.7062282 -8.182071)",3868,residential,Bukit Permai,85.9203748217493
"LINESTRING (113.7070551 -8.1822957,113.7072609 -8.1817153,113.7072804 -8.1816708,113.7073012 -8.1816549,113.7073582 -8.1816609,113.7073897 -8.1816629,113.7074078 -8.1816496,113.7074829 -8.1814034,113.7075727 -8.1811392,113.707725 -8.1807463,113.7077498 -8.1806394)",3869,residential,Bukit Permai,206.779793128581
"LINESTRING (113.7051325 -8.1816741,113.70541 -8.180755,113.7056637 -8.1799936,113.7057236 -8.1798144)",3870,residential,Bukit Permai,215.91728418504
"LINESTRING (113.70608 -8.182584,113.706356 -8.1826791)",3871,residential,Bukit Permai,32.2033046419679
"LINESTRING (113.7065219 -8.1832232,113.7067927 -8.1822459)",3872,residential,Bukit Permai,112.208365207011
"LINESTRING (113.7122314 -8.1961604,113.7130909 -8.196377)",3873,residential,,97.7598134567601
"LINESTRING (113.7123759 -8.1959089,113.7131798 -8.1961117)",3874,residential,,91.441660482035
"LINESTRING (113.7123652 -8.1956275,113.7123571 -8.1957356,113.7123759 -8.1959089,113.7123719 -8.1959799,113.7123578 -8.1960383,113.7123384 -8.1960954,113.7122948 -8.1961312,113.7122314 -8.1961604,113.7122009 -8.196175,113.7121721 -8.1961976,113.7121473 -8.1962288,113.7121157 -8.1962726,113.7120742 -8.1963296,113.7120031 -8.196396)",3875,residential,,103.098033952313
"LINESTRING (113.7192935 -8.1889176,113.7191418 -8.189064,113.7190238 -8.1891941)",3876,residential,,42.6957505851802
"LINESTRING (113.7197586 -8.1888758,113.7194248 -8.1889047,113.7192935 -8.1889176,113.7188508 -8.1889711)",3877,residential,,100.670109482281
"LINESTRING (113.718254 -8.1902746,113.7182238 -8.1902156,113.7182157 -8.1901684,113.7182292 -8.1900616,113.7182312 -8.1900131,113.7182245 -8.1899952,113.7181842 -8.18996,113.7181748 -8.1899415,113.7181695 -8.1899162,113.718207 -8.1897636,113.7182955 -8.189526)",3878,residential,,88.5317366881807
"LINESTRING (113.7191666 -8.1875708,113.7189822 -8.1875269,113.7188803 -8.1875135,113.7188575 -8.1876039,113.7185986 -8.1883817)",3879,residential,,133.250397561089
"LINESTRING (113.7203947 -8.1821425,113.7206237 -8.1822144,113.7206599 -8.1822091,113.7207028 -8.1821613,113.7208839 -8.1816423,113.7208859 -8.1816211,113.7208745 -8.1816031,113.7206316 -8.1815081)",3880,residential,,131.908481695274
"LINESTRING (113.7206664 -8.181416,113.7206316 -8.1815081,113.7205271 -8.1817923,113.7203947 -8.1821425,113.7203152 -8.1823525,113.7202878 -8.1823903,113.7202529 -8.1824076,113.720161 -8.1824096,113.7198814 -8.1823067)",3881,residential,,163.1111996232
"LINESTRING (113.7102288 -8.1809268,113.7101529 -8.1811597,113.7100612 -8.1814379)",3882,residential,Bukit Permai,59.5085318538386
"LINESTRING (113.7108842 -8.1826711,113.7105741 -8.1825523,113.7105326 -8.1825078,113.7105252 -8.182454,113.7105527 -8.1823585,113.7107033 -8.1820108,113.7107203 -8.1819715,113.7109046 -8.1815015,113.7110536 -8.1811843)",3883,residential,Bukit Permai,201.619826282517
"LINESTRING (113.7039604 -8.1872142,113.7039404 -8.1873862,113.7039048 -8.1876025,113.7039011 -8.1876467,113.7039042 -8.1876636,113.7039223 -8.1876742,113.7040845 -8.1877074,113.7044386 -8.1877638)",3884,residential,,110.348414405885
"LINESTRING (113.7043742 -8.1818342,113.7044305 -8.1814239,113.7044305 -8.1813834,113.7044171 -8.1813622,113.7043025 -8.1813363,113.7034566 -8.1812102)",3885,residential,,160.361713405031
"LINESTRING (113.7095528 -8.1918368,113.7095569 -8.1924184)",3886,residential,,64.3699386325129
"LINESTRING (113.7103748 -8.1919597,113.7103314 -8.191616,113.7102905 -8.1912556,113.7102449 -8.1909397)",3887,residential,,113.801916575859
"LINESTRING (113.7078766 -8.1915317,113.7078591 -8.1918875,113.7078658 -8.1921437,113.7078577 -8.1922286,113.7078188 -8.192506)",3888,residential,,108.22755520424
"LINESTRING (113.7046481 -8.194667,113.7045738 -8.1950168)",3889,residential,,39.5712441658639
"LINESTRING (113.7043548 -8.1945894,113.7044641 -8.1946199,113.7046481 -8.194667,113.7047444 -8.1946916,113.7049164 -8.1947289)",3890,residential,,63.836442176917
"LINESTRING (113.7048508 -8.1950123,113.7049164 -8.1947289,113.7049596 -8.1945423)",3891,residential,,53.3824451185572
"LINESTRING (113.706172 -8.1938182,113.7062598 -8.1938633,113.7062772 -8.1938806,113.7062806 -8.1939144,113.7061787 -8.1941977,113.7061438 -8.1942947,113.7060553 -8.1945722)",3892,residential,,94.2987394686099
"LINESTRING (113.7041629 -8.1939645,113.7045693 -8.1939111,113.7049128 -8.1938676,113.7052376 -8.1938228)",3893,residential,,119.538964924109
"LINESTRING (113.7043397 -8.1933718,113.7052924 -8.1935975)",3894,residential,,107.981015824454
"LINESTRING (113.7042743 -8.1949,113.703866 -8.1948164)",3895,residential,,45.9630211768689
"LINESTRING (113.7113773 -8.197185,113.7115216 -8.1966635,113.7115317 -8.1966363,113.7115592 -8.1965832,113.711586 -8.19655,113.7116276 -8.1965155,113.7116899 -8.1964949,113.7117349 -8.1964863,113.7117825 -8.196485,113.7118911 -8.1965115)",3896,residential,,110.24678997943
"LINESTRING (113.713006 -8.1975979,113.713261 -8.1968254)",3897,residential,,90.0014897808056
"LINESTRING (113.7129961 -8.1966463,113.7129486 -8.1968659,113.7127421 -8.1975231)",3898,residential,,101.078628233147
"LINESTRING (113.7124701 -8.1974442,113.7127439 -8.1965819)",3899,residential,,100.09667500326
"LINESTRING (113.714522 -8.196971,113.714802 -8.1959427)",3900,residential,,117.92091463195
"LINESTRING (113.7129328 -8.1913974,113.7138458 -8.1915304)",3901,residential,,101.746066719953
"LINESTRING (113.7072235 -8.19321,113.7075955 -8.19326,113.7076391 -8.19326,113.7076727 -8.1932467,113.7076961 -8.1931903,113.707701 -8.1931603,113.7077558 -8.1928226,113.7077672 -8.1927841,113.707784 -8.1927762,113.7086977 -8.1928445)",3902,residential,,205.690265318734
"LINESTRING (113.7056463 -8.1935192,113.7056395 -8.193635,113.7056483 -8.1936655,113.7057301 -8.1936941,113.7061029 -8.1938069,113.706172 -8.1938182,113.706186 -8.1937823,113.706233 -8.1936151,113.7062779 -8.1934724,113.706286 -8.1934465,113.7063034 -8.1934399,113.706819 -8.1935494,113.7071697 -8.1936124,113.7071959 -8.1936045,113.7072019 -8.1935673,113.7072214 -8.1932527,113.7072235 -8.19321,113.7072448 -8.1927715,113.7072348 -8.1924961,113.707214 -8.1921755,113.7071241 -8.1917069,113.7070933 -8.1914507,113.7070977 -8.1914182)",3903,residential,,465.539949799141
"LINESTRING (113.7077415 -8.1974126,113.7076136 -8.1977679)",3904,residential,,41.7752097003392
"LINESTRING (113.6770847 -8.1883751,113.6779892 -8.1886244)",3905,residential,,103.482114234764
"LINESTRING (113.67707 -8.1880631,113.6780136 -8.1883458)",3906,residential,,108.649895619696
"LINESTRING (113.6779892 -8.1886244,113.6780136 -8.1883458,113.6780342 -8.1881103,113.6780269 -8.188087,113.6780068 -8.1880678,113.6779739 -8.1880539,113.6770977 -8.1877929)",3907,residential,,167.665912116314
"LINESTRING (113.6778379 -8.1894404,113.6774482 -8.1893494,113.6773878 -8.1893162,113.6773449 -8.1892711,113.6773154 -8.1892087,113.677247 -8.1889844,113.6771451 -8.1886804,113.6770847 -8.1883751,113.67707 -8.1880631,113.6770861 -8.1878547,113.6770977 -8.1877929,113.6771142 -8.1877047,113.6771545 -8.1875813)",3908,residential,,251.054229553218
"LINESTRING (113.6796162 -8.1894172,113.6797146 -8.1890786)",3909,residential,,39.0127114019149
"LINESTRING (113.6817732 -8.1868392,113.681547 -8.186868)",3910,residential,,25.1453400323548
"LINESTRING (113.6821882 -8.1846615,113.6819721 -8.1846652,113.6819543 -8.1846679,113.6819429 -8.1846732,113.6819345 -8.1846815,113.6819285 -8.1846981)",3911,residential,,30.4621883609261
"LINESTRING (113.676262 -8.1829306,113.6762077 -8.182772,113.6761593 -8.1826496)",3912,residential,,33.1052933281815
"LINESTRING (113.6757387 -8.1828567,113.6761593 -8.1826496,113.6762294 -8.182615,113.6763363 -8.1825754,113.6763686 -8.1825655,113.6763961 -8.1825669,113.6764216 -8.1825808,113.6764444 -8.1826027,113.6765072 -8.1826653,113.6765785 -8.1827741,113.6766815 -8.1829251)",3913,residential,,130.777126013992
"LINESTRING (113.6789946 -8.1958238,113.6796184 -8.1963454)",3914,residential,,89.7968150372189
"LINESTRING (113.6790534 -8.1956493,113.6789946 -8.1958238,113.6789582 -8.1959293,113.6789382 -8.1959786,113.678913 -8.1961166,113.6788984 -8.196196,113.6788604 -8.196404,113.678845 -8.1964445,113.6788262 -8.1964644,113.6787987 -8.1964691,113.6787531 -8.1964677,113.6787142 -8.1964637,113.6785439 -8.1964444)",3915,residential,,125.593816874404
"LINESTRING (113.6821977 -8.1965617,113.6827301 -8.1964164,113.6832362 -8.1962794)",3916,residential,,118.695849909243
"LINESTRING (113.6822918 -8.1968391,113.6821977 -8.1965617,113.6821085 -8.1963303,113.6820898 -8.1962719,113.6826475 -8.1961398)",3917,residential,,129.83274997633
"LINESTRING (113.7055886 -8.1843742,113.7056141 -8.1846636,113.7056221 -8.1850452)",3918,residential,Bukit Permai,74.3948039827365
"LINESTRING (113.7041663 -8.1920441,113.7039008 -8.1919996,113.7038599 -8.1920096,113.7038317 -8.192056,113.7037627 -8.192514)",3919,residential,,91.5912640566825
"LINESTRING (113.7045854 -8.1920016,113.7043393 -8.1919737,113.7042944 -8.1919744,113.7042542 -8.1920056,113.7042334 -8.1920262,113.7042099 -8.1920421,113.7041663 -8.1920441,113.7041476 -8.1920959,113.7041093 -8.1922472)",3920,residential,,72.4236067978066
"LINESTRING (113.7153698 -8.1813194,113.7151553 -8.1812288,113.7150655 -8.1811836,113.7149958 -8.1811465,113.7149375 -8.181104,113.7148644 -8.1810628,113.7148027 -8.181033,113.7147329 -8.181007)",3921,residential,Gang Maron,78.5046194729156
"LINESTRING (113.7133477 -8.1862946,113.713145 -8.1867423,113.7131222 -8.1867795,113.7131014 -8.1867928,113.7130525 -8.1867928,113.7129787 -8.1867862,113.71296 -8.1867948,113.7129445 -8.186812,113.7128279 -8.1870437)",3922,residential,,108.985296360614
"LINESTRING (113.7058019 -8.1874944,113.7058756 -8.1869906,113.705897 -8.1867862)",3923,residential,,79.0913945802077
"LINESTRING (113.7080258 -8.1860149,113.707798 -8.1859558,113.7077806 -8.1859432,113.7077806 -8.1859081,113.7078924 -8.1855588)",3924,residential,Bukit Permai,72.7904639109853
"LINESTRING (113.7053525 -8.1843782,113.7055437 -8.1843702,113.7055886 -8.1843742,113.7055872 -8.1843271,113.7055986 -8.1840994,113.7055973 -8.1839142,113.7056033 -8.183881,113.7056174 -8.1838598,113.7056858 -8.1838472,113.7060501 -8.1838944)",3925,residential,Bukit Permai,131.74568637873
"LINESTRING (113.7098746 -8.1842069,113.709795 -8.1845089,113.7097178 -8.1847611)",3926,residential,Bukit Permai,63.7385070603819
"LINESTRING (113.7206719 -8.1973157,113.7212654 -8.1974812)",3927,residential,,67.9591083692875
"LINESTRING (113.7141324 -8.1967349,113.7133965 -8.1965613)",3928,residential,,83.3895539834492
"LINESTRING (113.707701 -8.1931603,113.7081957 -8.1932189,113.7086892 -8.1932256)",3929,residential,,109.356206598405
"LINESTRING (113.7209181 -8.1557236,113.7204459 -8.1566864)",3930,residential,,118.601729437196
"LINESTRING (113.7111515 -8.1562287,113.711532 -8.1556024)",3931,residential,,81.0269511561144
"LINESTRING (113.7024213 -8.1549315,113.7030619 -8.155006,113.7032765 -8.1550366,113.7035152 -8.155087,113.7038881 -8.1551083,113.7041169 -8.1553864,113.7043629 -8.1553154,113.704792 -8.155326,113.7047893 -8.1553711,113.7050495 -8.155395,113.7053834 -8.155477)",3932,residential,Jalan Dr Soebandi II,350.246119913014
"LINESTRING (113.7016015 -8.2042389,113.7015988 -8.2042767)",3933,residential,Jalan Perumahan Muktisari,4.19405520655151
"LINESTRING (113.6902021 -8.1995626,113.6909728 -8.1999287)",3934,residential,,94.1458157938413
"LINESTRING (113.6998569 -8.2008642,113.6999168 -8.2007697)",3935,residential,,12.3696565181462
"LINESTRING (113.6971601 -8.2055225,113.6969964 -8.205928)",3936,residential,Jalan Perumahan Muktisari,48.3720425708456
"LINESTRING (113.6966325 -8.2057858,113.6968473 -8.2054521,113.6968768 -8.2054322,113.6969291 -8.2054296,113.6970739 -8.2054906,113.6971601 -8.2055225,113.6975728 -8.2056751)",3937,residential,Jalan Perumahan Muktisari,129.588948593035
"LINESTRING (113.6872356 -8.2028372,113.6872778 -8.2026978,113.6873509 -8.2026341)",3938,residential,,26.8225366644148
"LINESTRING (113.6872778 -8.2026978,113.6871437 -8.2026525,113.6866704 -8.202529,113.6862527 -8.2024199,113.6860142 -8.202348,113.6854772 -8.2021892)",3939,residential,,206.414793304685
"LINESTRING (113.6876195 -8.1991127,113.6875943 -8.1993408,113.6875963 -8.1993478,113.6876041 -8.1993553,113.6876173 -8.1993616,113.6876285 -8.1993641,113.6879462 -8.1994274)",3940,residential,,66.001807862196
"LINESTRING (113.6916424 -8.202503,113.691456 -8.2028544)",3941,residential,,43.9875676593595
"LINESTRING (113.6917854 -8.2015469,113.6918796 -8.201366,113.6919188 -8.2012973)",3942,residential,,31.3007647651378
"LINESTRING (113.6926449 -8.2016501,113.6928159 -8.2018085,113.6928347 -8.2018589,113.6928253 -8.2018881,113.6925497 -8.2022154)",3943,residential,,82.3724311794552
"LINESTRING (113.6912857 -8.2019213,113.6915901 -8.202066,113.6917269 -8.2021443,113.6918382 -8.2022452,113.6920012 -8.2023979,113.6922116 -8.2025877,113.6925343 -8.2022247,113.6925497 -8.2022154,113.6925725 -8.2022154,113.6926134 -8.2022386)",3944,residential,,190.500148596041
"LINESTRING (113.6923085 -8.2081797,113.6922754 -8.2082131,113.6921282 -8.2084949)",3945,residential,,40.3529276977965
"LINESTRING (113.693578 -8.2078766,113.6935851 -8.2078892,113.693581 -8.2079051,113.6935753 -8.2079227,113.6934369 -8.2081621,113.6931795 -8.2086532)",3946,residential,,97.3541673120362
"LINESTRING (113.6860142 -8.202348,113.6860529 -8.2022671)",3947,residential,,9.91829370664119
"LINESTRING (113.6866704 -8.202529,113.6866967 -8.2024522)",3948,residential,,8.9807442834846
"LINESTRING (113.6819667 -8.1856529,113.6819898 -8.1859125)",3949,residential,Jalan Kyai Mojo,28.8431709355374
